--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,,Standard,,,,,,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches,-9999
115,Douglas Costa,br BRA,FWMF,Juventus,29,1990,0.5,0,0,0,,0.00,0.00,,,0,0,Matches,4fa7cb9b
116,Angelo da Costa Júnior,br BRA,GK,Bologna,36,1983,6.0,0,0,0,,0.00,0.00,,,0,0,Matches,18736214
117,Mamadou Coulibaly,sn SEN,MF,Udinese,21,1999,2.0,0,2,0,0.0,0.98,0.00,0.00,,0,0,Matches,c976160c
118,Alessio Cragno,it ITA,GK,Cagliari,26,1994,34.0,0,0,0,,0.00,0.00,,,0,0,Matches,f554e29b
119,Gian Crespi,it ITA,GK,Crotone,19,2001,1.0,0,0,0,,0.00,0.00,,,0,0,Matches,4dea2f2c
120,Domenico Criscito,it ITA,DF,Genoa,33,1986,19.2,1,6,2,33.3,0.31,0.10,0.17,0.50,1,1,Matches,35dd6d80
121,Bryan Cristante,it ITA,DFMF,Roma,25,1995,23.9,1,28,8,28.6,1.17,0.33,0.04,0.13,0,0,Matches,16657b95
122,Giovanni Crociata,it ITA,MF,Crotone,22,1997,0.3,0,0,0,,0.00,0.00,,,0,0,Matches,8c964914
123,Juan Cuadrado,co COL,DFMF,Juventus,32,1988,24.2,2,19,8,42.1,0.79,0.33,0.11,0.25,1,1,Matches,0ab1f153
124,Giuseppe Cuomo,it ITA,DF,Crotone,22,1998,8.9,0,2,0,0.0,0.22,0.00,0.00,,0,0,Matches,ae5b04fe
125,Patrick Cutrone,it ITA,FW,Fiorentina,22,1998,2.2,0,3,1,33.3,1.38,0.46,0.00,0.00,0,0,Matches,a4fe8cda
126,Wylan Cyprien,fr FRA,MF,Parma,25,1995,4.6,0,6,1,16.7,1.32,0.22,0.00,0.00,0,0,Matches,3e092724
127,Lennart-Marten Czyborra,de GER,MF,Genoa,21,1999,13.0,1,5,2,40.0,0.38,0.15,0.20,0.50,0,0,Matches,7ba1f1ef
128,Danilo D'Ambrosio,it ITA,DF,Inter,31,1988,7.8,3,8,6,75.0,1.03,0.77,0.38,0.50,0,0,Matches,44eb9093
129,Bryan Dabo,bf BFA,MF,Benevento,28,1992,12.4,0,12,2,16.7,0.97,0.16,0.00,0.00,0,0,Matches,c53083ad
130,Diogo Dalot,pt POR,DF,Milan,21,1999,12.1,1,10,5,50.0,0.83,0.41,0.10,0.20,0,0,Matches,d9565625
131,Mikkel Damsgaard,dk DEN,MFFW,Sampdoria,20,2000,19.7,2,25,8,32.0,1.27,0.41,0.08,0.25,0,0,Matches,215f3907
132,Danilo,br BRA,DFMF,Juventus,29,1991,32.4,1,19,2,10.5,0.59,0.06,0.05,0.50,0,0,Matches,94b2001f
133,Andrea Danzi,it ITA,MF,Hellas Verona,21,1999,1.2,0,1,0,0.0,0.87,0.00,0.00,,0,0,Matches,263b855a
134,Ebrima Darboe,gm GAM,MF,Roma,19,2001,3.6,0,3,0,0.0,0.84,0.00,0.00,,0,0,Matches,cf043a33
135,Matteo Darmian,it ITA,DF,Parma,30,1989,2.3,0,0,0,,0.00,0.00,,,0,0,Matches,96e0490d
136,Matteo Darmian,it ITA,MF,Inter,30,1989,12.9,3,9,4,44.4,0.70,0.31,0.33,0.75,0,0,Matches,96e0490d
137,Paweł Dawidowicz,pl POL,DF,Hellas Verona,25,1995,20.7,0,15,4,26.7,0.73,0.19,0.00,0.00,0,0,Matches,16bb656a
138,Sebastien De Maio,fr FRA,DF,Udinese,33,1987,9.5,0,6,1,16.7,0.63,0.11,0.00,0.00,0,0,Matches,952a03fe
139,Rodrigo De Paul,ar ARG,MF,Udinese,26,1994,35.6,9,83,23,27.7,2.33,0.65,0.11,0.39,3,3,Matches,162efffd
140,Mattia De Sciglio,it ITA,DFMF,Juventus,27,1992,0.3,0,1,0,0.0,3.75,0.00,0.00,,0,0,Matches,ae4e2852
141,Lorenzo De Silvestri,it ITA,DF,Bologna,32,1988,23.8,2,11,6,54.5,0.46,0.25,0.18,0.33,0,0,Matches,e74f0e59
142,Grégoire Defrel,mq MTQ,MFFW,Sassuolo,29,1991,14.8,3,22,9,40.9,1.48,0.61,0.14,0.33,0,0,Matches,854ee61a
143,Alessandro Deiola,it ITA,MF,Spezia,24,1995,4.0,0,5,1,20.0,1.25,0.25,0.00,0.00,0,0,Matches,7f267d66
144,Alessandro Deiola,it ITA,MF,Cagliari,24,1995,6.8,0,6,1,16.7,0.88,0.15,0.00,0.00,0,0,Matches,7f267d66
145,Lorenzo Del Pinto,it ITA,MF,Benevento,30,1990,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,081b6080
146,Cristian Dell'Orco,it ITA,DF,Spezia,26,1994,2.9,0,1,0,0.0,0.34,0.00,0.00,,0,0,Matches,b0243215
147,Merih Demiral,tr TUR,DF,Juventus,22,1998,10.4,0,6,2,33.3,0.57,0.19,0.00,0.00,0,0,Matches,e3cceee6
148,Diego Demme,de GER,MF,Napoli,28,1991,17.7,2,14,6,42.9,0.79,0.34,0.14,0.33,0,0,Matches,dc3fa3b5
149,Stefano Denswil,sr SUR,DF,Bologna,27,1993,1.3,0,0,0,,0.00,0.00,,,0,0,Matches,5832ebfe
150,Fabio Depaoli,it ITA,DFMF,Benevento,23,1997,12.4,0,8,2,25.0,0.64,0.16,0.00,0.00,0,0,Matches,d97f2e8d
151,Fabio Depaoli,it ITA,MF,Sampdoria,23,1997,0.9,0,2,1,50.0,2.34,1.17,0.00,0.00,0,0,Matches,d97f2e8d
152,Fabio Depaoli,it ITA,MF,Atalanta,23,1997,2.1,0,0,0,,0.00,0.00,,,0,0,Matches,d97f2e8d
153,Kastriot Dermaku,al ALB,DF,Parma,28,1992,1.1,0,0,0,,0.00,0.00,,,0,0,Matches,2990c466
154,Kiril Despodov,bg BUL,FWMF,Cagliari,23,1996,0.1,0,0,0,,0.00,0.00,,,0,0,Matches,13c8e5f6
155,Mattia Destro,it ITA,FW,Genoa,29,1991,17.8,11,37,22,59.5,2.07,1.23,0.30,0.50,0,0,Matches,d7d32194
156,Gerard Deulofeu,es ESP,FWMF,Udinese,26,1994,6.6,1,17,9,52.9,2.56,1.35,0.06,0.11,0,0,Matches,39583cfd
157,Jacopo Dezi,it ITA,FW,Parma,28,1992,0.9,0,1,0,0.0,1.14,0.00,0.00,,0,0,Matches,e921b9db
158,Samuel Di Carmine,it ITA,FW,Hellas Verona,31,1988,5.6,0,9,3,33.3,1.62,0.54,0.00,0.00,0,0,Matches,ef94dc2f
159,Samuel Di Carmine,it ITA,FW,Crotone,31,1988,5.3,0,6,1,16.7,1.14,0.19,0.00,0.00,0,0,Matches,ef94dc2f
160,Giovanni Di Lorenzo,it ITA,DF,Napoli,26,1993,36.0,3,29,12,41.4,0.81,0.33,0.10,0.25,0,0,Matches,230a2fac
161,Alessandro Di Pardo,it ITA,DFMF,Juventus,21,1999,0.2,0,0,0,,0.00,0.00,,,0,0,Matches,e0ce7038
162,Giuseppe Di Serio,it ITA,FW,Benevento,19,2001,3.2,0,4,2,50.0,1.23,0.62,0.00,0.00,0,0,Matches,5048486b
163,Amad Diallo,ci CIV,FWMF,Atalanta,18,2002,0.2,0,1,0,0.0,6.43,0.00,0.00,,0,0,Matches,9dc96f10
164,Amadou Diambo,gh GHA,MF,Benevento,19,2001,0.0,0,0,0,,0.00,0.00,,,0,0,Matches,c3a847c7
165,Amadou Diawara,gn GUI,MF,Roma,23,1997,7.3,1,7,4,57.1,0.96,0.55,0.14,0.25,0,0,Matches,bf309d24
166,Brahim Díaz,ma MAR,MF,Milan,20,1999,13.6,4,26,8,30.8,1.91,0.59,0.15,0.50,0,0,Matches,407feb71
167,Daan Dierckx,be BEL,DF,Parma,17,2003,5.2,0,0,0,,0.00,0.00,,,0,0,Matches,3a35db3d
168,Mitchell Dijks,nl NED,DF,Bologna,27,1993,16.5,0,2,0,0.0,0.12,0.00,0.00,,0,0,Matches,0a3065c8
169,Federico Dimarco,it ITA,DFMF,Hellas Verona,22,1997,29.0,5,38,14,36.8,1.31,0.48,0.13,0.36,0,0,Matches,970b8574
170,Koffi Djidji,ci CIV,DF,Crotone,27,1992,16.9,1,4,2,50.0,0.24,0.12,0.25,0.50,0,0,Matches,933d3b51
171,Berat Djimsiti,al ALB,DF,Atalanta,27,1993,29.2,0,21,3,14.3,0.72,0.10,0.00,0.00,0,0,Matches,6eee05f1
172,Nicolás Domínguez,ar ARG,MF,Bologna,22,1998,13.9,1,18,6,33.3,1.29,0.43,0.06,0.17,0,0,Matches,20b3a502
173,Gianluigi Donnarumma,it ITA,GK,Milan,21,1999,37.0,0,0,0,,0.00,0.00,,,0,0,Matches,08f5afaa
