--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
119,Tiago Gabriel,pt POR,DF,Lecce,21-242,2004,1,0,17,0.2,1,0,1,1,0,0,0,0,5.29,0.00,5.29,5.29,5.29,Matches,19452285
120,Gianluca Gaetano,it ITA,MF,Atalanta,26-112,2000,1,1,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches,3b387cc7
121,Nicolas Galazzi,it ITA,MF,Monza,25-250,2000,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a796492f
122,Antonino Gallo,it ITA,DF,Lecce,26-232,2000,1,1,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c74d63ac
123,Omri Gandelman,il ISR,MF,Lecce,26-101,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4b121b3
124,David de Gea,es ESP,GK,Fiorentina,35-291,1990,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7ba6d84e
125,Willem Geubbels,fr FRA,FW,Lecce,25-009,2001,1,1,73,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9836e892
126,Mario Gila,es ESP,DF,Milan,25-361,2000,1,1,75,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9c435456
127,Gvidas Gineitis,lt LTU,MF,Torino,22-132,2004,1,1,90,1.0,0,1,1,0,0,0,0,0,0.00,1.00,1.00,0.00,1.00,Matches,548bd0de
128,Unai Gómez,es ESP,MF,Udinese,23-092,2003,1,0,6,0.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,37db6cae
129,Olaf Gorter,nl NED,MF,Lecce,21-206,2005,1,1,60,0.7,1,0,1,1,0,0,0,0,1.50,0.00,1.50,1.50,1.50,Matches,7b2e8e08
130,Idrissa Guèye,sn SEN,FW,Udinese,19-343,2006,1,1,71,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bfecfbde
131,Antoine Hainaut,fr FRA,MF,Venezia,24-188,2002,1,1,84,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6503f220
132,Ridgeciano Haps,sr SUR,DFMF,Venezia,33-074,1993,1,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c8d7131c
133,Luis Hasa,al ALB,MF,Frosinone,22-231,2004,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ab4f1aa9
134,Torbjørn Heggem,no NOR,DF,Bologna,27-225,1999,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,834fea76
135,Eivind Helland,no NOR,DF,Bologna,21-122,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c6218f7a
136,Luis Henrique,br BRA,MF,Inter,24-254,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f36d5624
137,Mario Hermoso,es ESP,DF,Roma,31-068,1995,1,1,67,0.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,555f3a0b
138,Emil Holm,se SWE,DFMF,Bologna,26-104,2000,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c2357b65
139,Rasmus Højlund,dk DEN,FW,Napoli,23-202,2003,1,1,77,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,491a433d
140,Christ Inao Oulaï,ci CIV,MF,Fiorentina,20-141,2006,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,62709ee4
141,Gustav Isaksen,dk DEN,FWMF,Lazio,25-128,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5715bb71
142,Ardian Ismajli,al ALB,DF,Torino,29-329,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6b635f5c
143,Ardon Jashari,ch SUI,MF,Milan,24-026,2002,1,1,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,889588db
144,Álex Jiménez,es ESP,DF,Fiorentina,21-109,2005,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,faa13947
145,Pierre Kalulu,fr FRA,DF,Juventus,26-081,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,85f7d1be
146,Hassane Kamara,ci CIV,MF,Udinese,32-173,1994,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,19a12bed
147,Jesper Karlström,se SWE,MF,Udinese,31-065,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e0a1f4eb
